	NUMBER	GLOSS	English	CONCEPTICON_ID	CONCEPTICON_GLOSS	SIMILARITY	Note	Huang_STEDT_English	English_by_concepticon	Huang_Chinese
290	Chen-2013-888-291	纱					add muslin			
291	Chen-2013-888-292	布	cloth	1616.0	CLOTH	2.0		cloth	cloth (Tibetan, woollen)	氆氇
292	Chen-2013-888-293	衣		1895.0	CLOTHES				clothing / garment	衣服
293	Chen-2013-888-294	棉衣								
294	Chen-2013-888-295	衣领	collar	2012.0	COLLAR			collar	collar	衣领
295	Chen-2013-888-296	袖子		2953.0	SLEEVE	2.0			sleeve	衣袖
296	Chen-2013-888-297	扣子	button	757.0	BUTTON			pants / trousers||button	button	扣子
297	Chen-2013-888-298	衣袋		1851.0	POCKET					
298	Chen-2013-888-299	裤子		809.0	TROUSERS	2.0			pants / trousers (female's) (note:+male)	裤子 (男裤)
299	Chen-2013-888-300	裙子		1600.0	SKIRT	2.0				
300	Chen-2013-888-301	头巾		3066.0	SCARF OR TURBAN	2.0				
301	Chen-2013-888-302	帽子		771.0	HAT	2.0			hat (men's) (note:+male)	帽子 (男帽)
302	Chen-2013-888-303	裹腿布								
303	Chen-2013-888-304	鞋	shoe	1381.0	SHOE	2.0		shoe	shoe	鞋
304	Chen-2013-888-305	草鞋		2047.0	STRAW SANDAL	2.0				
305	Chen-2013-888-306	袜子	sock / stocking	1522.0	SOCK	2.0		sock / stocking	sock / stocking	袜子
306	Chen-2013-888-307	蓑衣	cape (for rain, of straw or palm bark)	1662.0	CAPE	2.0		cape (for rain, of straw or palm bark)	cape (for rain, of straw or palm bark)	蓑衣
307	Chen-2013-888-308	斗笠		2160.0	BAMBOO HAT	2.0				
308	Chen-2013-888-309	被子		2048.0	QUILT	2.0				
309	Chen-2013-888-310	枕头	pillow	1044.0	PILLOW	2.0		pillow	pad / cushion	垫子
310	Chen-2013-888-311	席子		195.0	MAT	2.0			mat (woven bamboo) (note:+straw)	席子 (草~)
311	Chen-2013-888-312	蚊帐		2795.0	MOSQUITO NET	2.0				
312	Chen-2013-888-313	棉絮					add batting			
313	Chen-2013-888-314	房子	house	1252.0	HOUSE	2.0		house	building	楼房
314	Chen-2013-888-315	瓦房								
315	Chen-2013-888-316	草房								
316	Chen-2013-888-317	厨房	kitchen	1365.0	KITCHEN	2.0		kitchen	kitchen	厨房
317	Chen-2013-888-318	厕所		219.0	TOILET	2.0				
318	Chen-2013-888-319	仓库	warehouse / storehouse	3025.0	BARN OR SHED	2.0		warehouse / storehouse	shed (tears)	淌(~泪)
319	Chen-2013-888-320	牛圈	shed (cow) / fence (ox)	2949.0	LAIR			shed (cow) / fence (ox)		
320	Chen-2013-888-321	门	door	1567.0	DOOR	2.0		door	door	门
321	Chen-2013-888-322	砖	brick	1006.0	BRICK	2.0		brick	brick	砖
322	Chen-2013-888-323	瓦	tile				add tile	shingle||tile		
323	Chen-2013-888-324	墙	wall (earthen, cob wall)	933.0	WALL (OF HOUSE)	2.0		wall (earthen, cob wall)||wall (stone)||wall	wall (earthen, cob wall)	墙
324	Chen-2013-888-325	楼								
325	Chen-2013-888-326	窗子	window	1375.0	WINDOW	2.0		window	window	窗子
326	Chen-2013-888-327	木头	wood / log	1803.0	WOOD	2.0		wood / log	wood / log	木头
327	Chen-2013-888-328	木板		1227.0	BOARD				plank / board (coffin) (note:+small)	木板 (小~)
328	Chen-2013-888-329	柱子	pillar / column	2045.0	COLUMN	2.0		pillar / column	pillar / column	柱子
329	Chen-2013-888-330	台阶	flight of steps	1158.0	STEP			flight of steps	step / stride	步(走一~)
330	Chen-2013-888-331	船		1844.0	BOAT	2.0			boat / ship (wooden) (note:+wooden)	船 (木船)
331	Chen-2013-888-332	车		1111.0	CAR					
332	Chen-2013-888-333	马鞍	saddle	3065.0	SADDLE			saddle	saddle	马鞍
333	Chen-2013-888-334	鞭子		2630.0	WHIP	2.0			whip /	抽打
334	Chen-2013-888-335	伞		3105.0	UMBRELLA				"umbrella (lit. 'cloth hat') (note:""cloth hat"")"	"伞 (""布帽子"")"
335	Chen-2013-888-336	斧子		677.0	AXE				axe	斧头
336	Chen-2013-888-337	柴刀	chopper	2680.0	MACHETE			chopper		
337	Chen-2013-888-338	锤子	hammer	1481.0	HAMMER			hammer||hammer (small)||hammer (big)	hammer	锤子
338	Chen-2013-888-339	凿子		1979.0	CHISEL				chisel / bore (a hole)	凿
339	Chen-2013-888-340	锯子	saw	1948.0	SAW	2.0		saw	saw	锯
340	Chen-2013-888-341	锉子								
341	Chen-2013-888-342	锥子	awl	278.0	AWL			awl	awl	锥子
342	Chen-2013-888-343	刨子	plane (tool)					plane (tool)		
343	Chen-2013-888-344	钳子								
344	Chen-2013-888-345	犁	plow	2154.0	PLOUGH (INSTRUMENT)	2.0		plow	plow	犁
345	Chen-2013-888-346	耙	rake	338.0	RAKE	4.0		rake (iron-toothed)||rake (wooden)||rake	rake	耙
346	Chen-2013-888-347	钉耙		338.0	RAKE				rake	耙
347	Chen-2013-888-348	锄头		284.0	HOE	2.0			hoe (pointed) (note:+small)	锄头 (小锄)
348	Chen-2013-888-349	扁担	pole (carrying / shoulder)					pole (carrying / shoulder)		
349	Chen-2013-888-350	绳子	rope / string	1218.0	ROPE	2.0		rope / string	rope / string	绳子
350	Chen-2013-888-351	镰刀	sickle	341.0	SICKLE	2.0		sickle||net	sickle	镰刀
351	Chen-2013-888-352	麻袋		2990.0	SACK				parcel / sack (of things)	包(一~东西)
352	Chen-2013-888-353	箩筐		1539.0	BASKET	2.0			basket carried on the back	背篓
353	Chen-2013-888-354	织布机	loom	1787.0	LOOM	2.0		loom	loom	织布机
354	Chen-2013-888-355	纺车								
355	Chen-2013-888-356	弓	bow (for arrow)	994.0	BOW	2.0		bow (for arrow)	bow (for arrow)	弓
356	Chen-2013-888-357	箭	arrow	977.0	ARROW	2.0		arrow (poison, bamboo)||arrow||arrow (poison, with iron clusters)	arrow	箭
357	Chen-2013-888-358	锍								
358	Chen-2013-888-359	火药	gunpowder	1798.0	GUNPOWDER	2.0		gunpowder	gunpowder	火药
359	Chen-2013-888-360	风箱					add bellows			
360	Chen-2013-888-361	网	net	2653.0	NET (FOR CATCHING)	4.0		net		
361	Chen-2013-888-362	囱		1305.0	CHIMNEY					
362	Chen-2013-888-363	石磨		636.0	MILL				millstones (small mill) (note:water-mill)	磨(石~) (水~)
363	Chen-2013-888-364	筛子		86.0	SIEVE	2.0			sieve / sift	筛(~米)
364	Chen-2013-888-365	簸箕	fan (winnowing)	2051.0	DUSTPAN	2.0		fan (winnowing)		
365	Chen-2013-888-366	钩子		1071.0	HOOK	2.0			hook	钩
366	Chen-2013-888-367	床	bed	1663.0	BED	2.0		bed||bed (without bedding)||bed (with bedding)	bed	床
367	Chen-2013-888-368	桌子		1775.0	TABLE	2.0			table (word used by elderly) (note:younger{language})	桌子 ((青年语))
368	Chen-2013-888-369	椅子		1476.0	CHAIR	2.0				
369	Chen-2013-888-370	凳子	stool / bench	2058.0	STOOL	2.0		stool / bench		
370	Chen-2013-888-371	箱子	chest / box / trunk	1465.0	BOX	2.0		chest / box / trunk	box / case	盒子
371	Chen-2013-888-372	柜子	cupboard / cabinet				add cabinet	cupboard / cabinet		
372	Chen-2013-888-373	架子		745.0	SHELF					
373	Chen-2013-888-374	扫帚	broom	245.0	BROOM	2.0		broom	broom	扫帚
374	Chen-2013-888-375	刷子		1821.0	BRUSH	2.0				
375	Chen-2013-888-376	柴	firewood	10.0	FIREWOOD	2.0		firewood	firewood	柴
376	Chen-2013-888-377	灶	stove (cooking) / range (kitchen)	859.0	STOVE	2.0		wok (large, iron) / pan||stove (cooking) / range (kitchen)	stove (cooking) / range (kitchen)	灶
377	Chen-2013-888-378	锅		2056.0	WOK	2.0			wok (frying)	炒菜锅
378	Chen-2013-888-379	甑子								
379	Chen-2013-888-380	菜刀		2772.0	VEGETABLE KNIFE	2.0				
380	Chen-2013-888-381	碗		1530.0	BOWL	2.0			bowl (of cooked rice)	碗(一~饭)
381	Chen-2013-888-382	筷子		1987.0	CHOPSTICKS	2.0			chopsticks (term used by old people) (note:younger{language})	筷子 ((青年语))
382	Chen-2013-888-383	勺子		1378.0	SPOON	2.0			spoon	匙(调羹)
383	Chen-2013-888-384	酒杯								
384	Chen-2013-888-385	坛子	jar (earthen)				add jar	jar (earthen)		
385	Chen-2013-888-386	水缸								
386	Chen-2013-888-387	水桶	bucket					bucket (for carrying water on back)||bucket (red copper)||bucket		
387	Chen-2013-888-388	罐子	pot / jar / tin	1051.0	CAN			pot / jar / tin (big)||bottle||pot / jar / tin (earthenware)||pot / jar / tin (water)||pot / jar / tin (copper)||pot / jar / tin		
388	Chen-2013-888-389	水瓢								
389	Chen-2013-888-390	火钳	tongs (fire)	272.0	TONGS			tongs (fire)	tongs (fire)	火钳
390	Chen-2013-888-391	吹火筒								
391	Chen-2013-888-392	篮子		1539.0	BASKET				basket carried on the back	背篓
392	Chen-2013-888-393	背带		2973.0	STRAP					
393	Chen-2013-888-394	扇子		1971.0	FAN (OBJECT)	2.0				
394	Chen-2013-888-395	秤		2783.0	SCALES (MEASURE INSTRUMENT)	2.0				
395	Chen-2013-888-396	尺子	ruler (measure)					ruler (measure)		
396	Chen-2013-888-397	针	needle	1382.0	NEEDLE (FOR SEWING)	2.0		needle	needle	针
397	Chen-2013-888-398	剪刀		356.0	SHEARS	2.0			scissors	剪子
398	Chen-2013-888-399	梯子	ladder	1464.0	LADDER	2.0		ladder	ladder	梯子
399	Chen-2013-888-400	锁	lock	1596.0	LOCK	2.0		lock	lock (the door)	锁(~门)
400	Chen-2013-888-401	钥匙	key	1472.0	KEY	2.0		key	key	钥匙
401	Chen-2013-888-402	灯	light / lamp	625.0	LAMP	2.0		light / lamp (pine torch)||light / lamp||light / lamp (butter)||light / lamp (oil)	light / lamp	灯
402	Chen-2013-888-403	灯笼								
403	Chen-2013-888-404	镜子	mirror	1171.0	MIRROR	2.0		mirror	mirror	镜子
404	Chen-2013-888-405	耳环		770.0	EARRING	2.0			earrings (small) (note:+large)	耳环 (大~)
405	Chen-2013-888-406	手镯	bracelet	1754.0	BRACELET	2.0		bracelet	bracelet	手镯
406	Chen-2013-888-407	梳子	comb	1475.0	COMB	2.0		comb	comb	梳子
407	Chen-2013-888-408	棺材		2011.0	COFFIN	2.0				
408	Chen-2013-888-409	钱		1559.0	MONEY	2.0			"money (lit. 'conch shell') (note:""shells"")"	"钱(货币) (""贝壳"")"
409	Chen-2013-888-410	货物	goods / merchandise	1082.0	MERCHANT 			goods / merchandise||interest (financial)		
410	Chen-2013-888-411	鼓		908.0	DRUM	2.0			drum (big) (note:+small)	鼓 (小手~)
411	Chen-2013-888-412	锣	gong	2502.0	GONG	2.0		gong	gong	锣
412	Chen-2013-888-413	钟	chime	2246.0	BELL	2.0		chime	bell (small) (note:+temple)	铃 ((庙里挂的)~)
413	Chen-2013-888-414	喇叭		775.0	TRUMPET					
414	Chen-2013-888-415	香		376.0	FRAGRANT	2.0			fragrant	香(气味~)
415	Chen-2013-888-416	蜡烛		1273.0	CANDLE	2.0				
416	Chen-2013-888-417	话	speech / words	1115.0	SPEECH	2.0		speech / words	speech / words	话
417	Chen-2013-888-418	歌		1096.0	SONG	2.0			song (folk, sung in fields during or after work)	歌 (山~)
418	Chen-2013-888-419	故事	story	2060.0	STORY	2.0		story	story (of building)	层(两~楼)
419	Chen-2013-888-420	谜语	riddle	2970.0	RIDDLE			riddle	riddle	谜语
420	Chen-2013-888-421	笔		794.0	PEN	2.0			pen (writing instrument) (brush) (note:+bamboo)	笔 (竹~)
421	Chen-2013-888-422	书		963.0	BOOK	2.0			book (Tibetan style long strips) (note:+Tibetan_scroll)	书 ((藏式长条)~)
422	Chen-2013-888-423	纸	paper	648.0	PAPER	2.0		paper	paper	纸
423	Chen-2013-888-424	信	letter	1612.0	LETTER	2.0		letter	letter	信
424	Chen-2013-888-425	球		1845.0	BALL	2.0				
425	Chen-2013-888-426	旗子		2623.0	FLAG	2.0				
426	Chen-2013-888-427	牌		2619.0	CARD					
427	Chen-2013-888-428	一	one	1493.0	ONE	2.0		one	hectare, 1 / 15 of	亩(一~)
428	Chen-2013-888-429	二	two	1498.0	TWO	2.0		two	two	二
429	Chen-2013-888-430	三	three	492.0	THREE	2.0		three	three	三
430	Chen-2013-888-431	四	four	1500.0	FOUR	2.0		four	four	四
431	Chen-2013-888-432	五	five	493.0	FIVE	2.0		five	five	五
432	Chen-2013-888-433	六	six	1703.0	SIX	2.0		six	six	六
433	Chen-2013-888-434	七	seven	1704.0	SEVEN	2.0		seven	seven	七
434	Chen-2013-888-435	八	eight	1705.0	EIGHT	2.0		eight	eight	八
435	Chen-2013-888-436	九	nine	1483.0	NINE	2.0		nine	nine	九
436	Chen-2013-888-437	十	ten	1515.0	TEN	2.0		ten	ten	十
437	Chen-2013-888-438	十一	eleven	1706.0	ELEVEN	2.0		eleven	eleven	十一
438	Chen-2013-888-439	十二	twelve	1707.0	TWELVE	2.0		twelve	twelve	十二
439	Chen-2013-888-440	十三	thirteen	1708.0	THIRTEEN	2.0		thirteen	thirteen	十三
440	Chen-2013-888-441	十四	fourteen	2451.0	FOURTEEN	2.0		fourteen	fourteen	十四
441	Chen-2013-888-442	十五	fifteen	1709.0	FIFTEEN	2.0		fifteen	fifteen	十五
442	Chen-2013-888-443	十六	sixteen	2454.0	SIXTEEN	2.0		sixteen	sixteen	十六
443	Chen-2013-888-444	十	ten	1515.0	TEN	2.0		ten	ten	十
444	Chen-2013-888-445	十七	seventeen	2453.0	SEVENTEEN	2.0		seventeen	seventeen	十七
445	Chen-2013-888-446	十	ten	1515.0	TEN	2.0		ten	ten	十
446	Chen-2013-888-447	十八	eighteen	1713.0	EIGHTEEN	2.0		eighteen	eighteen	十八
447	Chen-2013-888-448	十九	nineteen	1714.0	NINETEEN	2.0		nineteen	nineteen	十九
448	Chen-2013-888-449	二十	twenty	1710.0	TWENTY	2.0		twenty	twenty	二十
449	Chen-2013-888-450	三十	thirty	1715.0	THIRTY	2.0		thirty	thirty	三十
450	Chen-2013-888-451	百	hundred	1634.0	HUNDRED	2.0		hundred	hundred	百
451	Chen-2013-888-452	位（客）		516.0	PERSON (CLASSIFIER)	4.0			classifier for people	个(一~人)
452	Chen-2013-888-453	个（蛋）				4.0				
453	Chen-2013-888-454	只（鸡）		2081.0	CHICKEN (CLASSIFIER)	2.0			classifier for two birds	只(两~鸟)
454	Chen-2013-888-455	条（河）		2084.0	ROPE (CLASSIFIER)	4.0			classifier for rope	条(一~绳子)
455	Chen-2013-888-456	棵（树）		2721.0	TREE (CLASSIFIER)	4.0			classifier for trees	棵(一~树)
456	Chen-2013-888-457	根（棍）		2085.0	STICK (CLASSIFIER)	2.0			classifier for sticks (big) (note:+long)	"根(一~棍子) ((用于修饰""大棍子""))"
457	Chen-2013-888-458	块		594.0	PIECE					
458	Chen-2013-888-459	双		2089.0	PAIR (CLASSIFIER)	2.0			pair (of shoes)	双(一~鞋)
459	Chen-2013-888-460	层								
460	Chen-2013-888-461	件		2088.0	CLOTHING (CLASSIFIER)	4.0			classifier for garments	件(一~衣)
461	Chen-2013-888-462	句								
462	Chen-2013-888-463	首								
463	Chen-2013-888-464	斤		2647.0	CATTY (MASS UNIT)	2.0				
464	Chen-2013-888-465	两								
465	Chen-2013-888-466	丈								
466	Chen-2013-888-467	尺		2782.0	FOOT (MEASURE)	2.0			foot (=1 / 3 meter)	尺(一~)
467	Chen-2013-888-468	元		1406.0	FAR	2.0			far / distant	远
468	Chen-2013-888-469	年	year	1226.0	YEAR	2.0		year	year	年
469	Chen-2013-888-470	月	month	1370.0	MONTH	2.0		month	month	月
470	Chen-2013-888-471	天	sky	1225.0	DAY (NOT NIGHT)	2.0		sky	day (time)	白天
471	Chen-2013-888-472	岁		1789.0	AGE	2.0			age	年纪
472	Chen-2013-888-473	每天	every day					every day		
473	Chen-2013-888-474	前面		2194.0	FRONT (PART)	2.0			front	前(~边)
474	Chen-2013-888-475	后面		1686.0	BEHIND	2.0				
475	Chen-2013-888-476	左边	left	244.0	LEFT	2.0		left	left	左边
476	Chen-2013-888-477	右边	right	1019.0	RIGHT	2.0		right	right	右边
477	Chen-2013-888-478	上边		57.0	ATOP					
478	Chen-2013-888-479	下边		1485.0	BELOW OR UNDER				below / under	以下
479	Chen-2013-888-480	里边		1606.0	INSIDE	2.0			inside (the sea, a well) (note:+building)	里(~边) ((房屋)~)
480	Chen-2013-888-481	外边		762.0	OUTSIDE	2.0			outside	外(~边)
481	Chen-2013-888-482	中间	middle	1093.0	MIDDLE	2.0		middle	middle	中间
482	Chen-2013-888-483	旁边	side	682.0	SIDE	2.0		side	side	旁边
483	Chen-2013-888-484	今天	today	1283.0	TODAY	2.0		today	today	今天
484	Chen-2013-888-485	明天	tomorrow	1329.0	TOMORROW	2.0		tomorrow	tomorrow	明天
485	Chen-2013-888-486	昨天	yesterday	1174.0	YESTERDAY	2.0		yesterday	yesterday	昨天
486	Chen-2013-888-487	后天	day after tomorrow	1179.0	DAY AFTER TOMORROW	2.0		day after tomorrow	day after tomorrow	后天
487	Chen-2013-888-488	上午		2775.0	FORENOON	2.0				
488	Chen-2013-888-489	中午	noon	12.0	MIDDAY	2.0		noon	noon	中午
489	Chen-2013-888-490	下午		1807.0	AFTERNOON	2.0				
490	Chen-2013-888-491	早晨	morning	1339.0	MORNING	2.0		morning	morning	早晨
491	Chen-2013-888-492	晚上	night, at / evening, in the	1629.0	EVENING	2.0		night, at / evening, in the	night, at / evening, in the	晚上
492	Chen-2013-888-493	半夜	midnight	1233.0	NIGHT			midnight	night, at	夜里
493	Chen-2013-888-494	初一	day (first of lunar month)					day (first of lunar month)		
494	Chen-2013-888-495	初二	day (second of lunar month)					day (second of lunar month)		
495	Chen-2013-888-496	初三								
496	Chen-2013-888-497	正月		2036.0	JANUARY	2.0			January (year in which New Year is celebrated)	一月 (正月(过年的月份))
497	Chen-2013-888-498	二月		2037.0	FEBRUARY	2.0			"February (lit. 'second month') (note:""the second month"")"	"二月 (""第二个月"")"
498	Chen-2013-888-499	三月		2846.0	MARCH	2.0				
499	Chen-2013-888-500	四月		2847.0	APRIL	2.0				
500	Chen-2013-888-501	五月		2848.0	MAY (MONTH)	2.0				
501	Chen-2013-888-502	六月		2849.0	JUNE	2.0				
502	Chen-2013-888-503	七月		2850.0	JULY	2.0				
503	Chen-2013-888-504	八月		2851.0	AUGUST	2.0				
504	Chen-2013-888-505	九月		2852.0	SEPTEMBER	2.0				
505	Chen-2013-888-506	十月		2853.0	OCTOBER	2.0				
506	Chen-2013-888-507	十一月		2854.0	NOVEMBER	2.0				
507	Chen-2013-888-508	十二月		2855.0	DECEMBER	2.0				
508	Chen-2013-888-509	今年	this year	513.0	THIS YEAR	2.0		this year	this year	今年
509	Chen-2013-888-510	去年	last year	514.0	LAST YEAR	2.0		last year	last year	去年
510	Chen-2013-888-511	明年	next year	515.0	NEXT YEAR	2.0		next year	next year	明年
511	Chen-2013-888-512	现在	present, the (time)	1376.0	NOW	2.0		present, the (time)	present, the (time)	现在
512	Chen-2013-888-513	将来		2427.0	FUTURE				future (near) (note:+proximal)	将来 ((指近期))
513	Chen-2013-888-514	从前	past, in the	2914.0	ONCE (IN THE PAST)	2.0		past, in the	past, in the	从前
514	Chen-2013-888-515	我	I	1209.0	I	2.0		I	I	我
515	Chen-2013-888-516	我们	we	1212.0	WE	2.0		we	we	我们
516	Chen-2013-888-517	你	you	1215.0	THOU	2.0		you	you	你
517	Chen-2013-888-518	你们	you (pl.)	1213.0	YOU	2.0		you (pl.)	you (pl.)	你们
518	Chen-2013-888-519	他	he	1211.0	HE	2.0		he	he	他
519	Chen-2013-888-520	他们	they	817.0	THEY	2.0		they	they	他们
520	Chen-2013-888-521	大家	we all	98.0	ALL	2.0		we all	all / everything	一切
521	Chen-2013-888-522	自己		1993.0	SELF	2.0				
522	Chen-2013-888-523	别人	other person(s)	2422.0	SOMEONE	2.0		other persons||other person(s)||other person(s) (lit. 'person home')	others / miscellaneous	其他
523	Chen-2013-888-524	这	this	1214.0	THIS	2.0		this	thus / this (way) / (like) this	这样
524	Chen-2013-888-525	那		78.0	THAT	2.0			that (over yonder)	那(远指)
525	Chen-2013-888-526	什么	what	1236.0	WHAT	2.0		what	what	什么
526	Chen-2013-888-527	哪个		727.0	WHICH					
527	Chen-2013-888-528	哪里	where	1237.0	WHERE	2.0		where	where	哪里
528	Chen-2013-888-529	大	big / large	1202.0	BIG	2.0		big / large	big / large	大
529	Chen-2013-888-530	小	small	1246.0	SMALL	2.0		small	small	小
530	Chen-2013-888-531	高		1265.0	HIGH	2.0				
531	Chen-2013-888-532	矮、低		721.0	LOW					
532	Chen-2013-888-533	长	long	1203.0	LONG	2.0		long	long	长
533	Chen-2013-888-534	短	short	1645.0	SHORT	2.0		short	short	短
534	Chen-2013-888-535	远	far / distant	1406.0	FAR	2.0		far / distant	far / distant	远
535	Chen-2013-888-536	近	near	1942.0	NEAR	2.0		near	near / close	接近
536	Chen-2013-888-537	宽		1243.0	WIDE	2.0				
537	Chen-2013-888-538	窄	narrow	1267.0	NARROW	2.0		narrow	narrow	窄
538	Chen-2013-888-539	厚	thick	1244.0	THICK	2.0		thick	thick	厚
539	Chen-2013-888-540	薄	thin	2306.0	THIN (OF LEAF AND CLOTH)	2.0		thin		
540	Chen-2013-888-541	深	deep	1593.0	DEEP	2.0		deep	deep	深
541	Chen-2013-888-542	浅	shallow	193.0	SHALLOW	2.0		shallow	shallow	浅
542	Chen-2013-888-543	满	full	1429.0	FULL	2.0		full	full, be / filled up	满(~了)
543	Chen-2013-888-544	空	empty	1624.0	EMPTY	2.0		empty	empty	空
544	Chen-2013-888-545	多	many / much	1198.0	MANY	2.0		many / much	many / much	多
545	Chen-2013-888-546	少	few / little	1242.0	FEW	2.0		few / little	several / few, a	几个
546	Chen-2013-888-547	方		2757.0	ANGULAR (SQUAREFORMED)	2.0				
547	Chen-2013-888-548	圆		1395.0	ROUND	2.0			circle / circular (planar)	圆 ((圆筒形))
548	Chen-2013-888-549	扁	flat / shallow	1633.0	FLAT			flat / shallow	level / flat	平
549	Chen-2013-888-550	尖	pointed	1396.0	SHARP	2.0		pointed	sharp	锋利
550	Chen-2013-888-551	平	level / flat	1633.0	FLAT	2.0		level / flat	level / flat	平
551	Chen-2013-888-552	直		1404.0	STRAIGHT	2.0			straight	直(~的)
552	Chen-2013-888-553	横		2376.0	HORIZONTAL	2.0			horizontal	横(~的)
553	Chen-2013-888-554	弯	curved, become / bent	2004.0	BEND	2.0		bend at the waist||curved, become / bent	bend	弄弯
554	Chen-2013-888-555	黑		163.0	BLACK	2.0			black (of faces)	黑 ((脸)~)
555	Chen-2013-888-556	白	white	1335.0	WHITE	2.0		white	white	白
556	Chen-2013-888-557	红	red	156.0	RED	2.0		red	red	红
557	Chen-2013-888-558	黄	yellow	1424.0	YELLOW	2.0		yellow	yellow	黄
558	Chen-2013-888-559	绿	green	1425.0	GREEN	2.0		green	green	绿
559	Chen-2013-888-560	蓝	blue	837.0	BLUE	2.0		blue||blue (lit. 'sky color')	blue	蓝
560	Chen-2013-888-561	亮		679.0	BRIGHT	2.0			bright	亮(~的)
561	Chen-2013-888-562	暗	dark	706.0	DARK	2.0		dark	dark	暗
562	Chen-2013-888-563	重	heavy	1210.0	HEAVY	2.0		heavy	heavy	重
563	Chen-2013-888-564	轻	light	1052.0	LIGHT (WEIGHT)	2.0		light (weight)	light	轻
564	Chen-2013-888-565	快	quick /	1631.0	FAST	2.0		quick / fast||quick / fast (body movement)||quick / fast (speed)	quick /	快
565	Chen-2013-888-566	慢		701.0	SLOW	2.0			slow (body movement) (note:+manner {lit. of	慢 ((动作)~)
566	Chen-2013-888-567	早	early	672.0	EARLY	2.0		early	early	早
567	Chen-2013-888-568	迟	late	425.0	BE LATE	2.0		late	hold up / delay	耽误
568	Chen-2013-888-569	锋利	sharp	1396.0	SHARP	2.0		sharp	sharp	锋利
569	Chen-2013-888-570	清		1147.0	PURE	4.0				
570	Chen-2013-888-571	稀（疏）		209.0	RARE	4.0				
571	Chen-2013-888-572	蜜（稠）								
572	Chen-2013-888-573	浓		1244.0	THICK				thick	厚
573	Chen-2013-888-574	稠（浊）		2239.0	DENSE	4.0			thick	稠(粥~)
574	Chen-2013-888-575	淡		2181.0	LIGHT (IN TASTE)	2.0				
575	Chen-2013-888-576	胖	fat	1279.0	FAT (OBESE)	2.0		fat||fat (adult)||fat (infant)	fat	胖
576	Chen-2013-888-577	痩		1400.0	THIN (SLIM)	4.0			thin	瘦
577	Chen-2013-888-578	干枯					add withered			
578	Chen-2013-888-579	湿	wet	1726.0	WET	2.0		wet	wet	湿
579	Chen-2013-888-580	硬	hard	1884.0	HARD	2.0		hard	hard	硬
580	Chen-2013-888-581	软	soft	1856.0	SOFT	2.0		soft / spongy / loose||soft	soft	软
581	Chen-2013-888-582	活		1422.0	BE ALIVE	2.0			alive, become / active (people)	活(~了) ((人)~)
582	Chen-2013-888-583	死	die	1494.0	DIE	2.0		die	die	死
583	Chen-2013-888-584	光	light	1624.0	EMPTY			light	empty	空
584	Chen-2013-888-585	松	lax / loose /	2506.0	LOOSE	4.0		lax / loose / slack||lax / fluffy / puffy	lax / loose /	松
